id,label,description,source,target,trend,reliability,references,reviewers,comments,organisation,mandate
6.1-2,Totalförsvaret får större roll i samhället,Försvaret och totalförsvar får större roll i samhället,6.1,6,positive,medium,"Regeringsbeslut om vindkraft Nov 2024, budgetökningar, mediarapportering",AM,"Tolkning av mediarapportering och senaste politiska  beslut, kan behöva kollas mot opinionsundersökningar (SIFO, mm)",,
6.1-3,Skadegörelse mot infrastruktur: Sabotage mot kablar och rörledningar ökar,Skadegörelse mot infrastruktur: Sabotage och störningar mot kablar och rörledningar i havet ökar,6.1,5.6,positive,high,Nyhetsmedia om folk och försvarskonferensen,AM,"Nordstream 2 incidenten, flera incident med kablar som kapas i Östersjön under 2024/25, rapportering om ""skuggflottefartyg""",Norsk,KS - Autonom övervakning genom samarbetspartner i Norge
6.1-4,Förslag till mer vindkraft i Bottenhavet och Västerhavet,Politiska beslut prioriterar ner vindkraft i Södra Östersjön. Havsplanerna föreslår mer vindkraft i Bottenhavet och Västerhavet,6.1,5.1,,high,"Regeringsbeslut om vindkraft Nov 2024, omarbetning av havsplanerna 2024/25 (hos regeringen för antagande), budgetökningar för försvaret",AM,Tolkning av senaste beslut,,
6.1-5,Prioritet av resiliens och redundans i infrastruktur,Politisk och samhällsprioritet att resiliens och redundans i energi och informationsinfrastruktur behövs,6.1,5.6,positive,high,"Regeringsbeslut om vindkraft Nov 2024, omarbetning av havsplanerna 2024/25 (hos regeringen för antagande), budgetökningar för försvaret",AM,"Tolkning av mediarapportering och senaste politiska  beslut, kan behöva kollas mot opinionsundersökningar (SIFO, mm)",,
7,Sjöfart,"Sjöfarten består av en  mängd olika typer av fartyg som transporterar olika typer av gods (flytande, fast, containrar, roro) samt passagerare över både kortare och långa distanser.",,,positive,high,"1. D1.1 kap 6 sjöfarten, samt Tafikverkets analyser för Sverige som refereras där. 2. Wan, S. et al. 2022. Emerging marine pollution from container ship accidents: Risk characteristics, response strategies, and regulation advancements Journal of Cleaner Production. Vol. 376: 2022. https://doi.org/10.1016/j.jclepro.2022.134266 (Via UB.GU.SE)",MP/AM,"Under 40-årsperioden från 1980 till 2020 ökade den totala vikten av last som fraktades av containrar över hela världen nästan 20 gånger. Sedan början av den 21:a århundradet har container-godstrafik vuxit i en mycket snabb takt på grund av den handelsboom som den ekonomiska globaliseringen medför.(Wan et al, 2022)",, 
7-1,Direkt miljöpåverkan i vatten,"Direkt miljöpåverkan (skrubber vatten, länsvatten, ballastvatten, tankrengöring, kylvatten, undervattensbuller, operationellt oljespill och fast avfall)",7,,positive,unknown,"1. Walker, R. et al. (2019). Chapter 27 - Environmental Effects of Marine Transportation, pp. 505-530, in: Charles Sheppard. World Seas: An Environmental Evaluation (Second Edition). Academic Press, ISBN 9780128050521, https://doi.org/10.1016/B978-0-12-805052-1.00030-9 2. Andersson, M. et al  (2023). Management Measures to Reduce Continuous Underwater Noise from Shipping. Report No. 2023:3, Swedish Institute for the Marine Environment. 3. Wan, S. et al. 2022. Emerging marine pollution from container ship accidents: Risk characteristics, response strategies, and regulation advancements Journal of Cleaner Production. Vol. 376: 2022. https://doi.org/10.1016/j.jclepro.2022.134266 (Via UB.GU.SE)",MP,"Andersson et al., 2023 (förhöjda akustiska nivåer i marina miljöer kan utöva skadliga effekter på akvatisk biota, men är lite utforskat)",,
7-2,Direkt miljöpåverkan i vatten,Direkt miljöpåverkan: grått och svart vatten,7,,positive,high,"1. Peng, G. et al. (2022). Gray Water from Ships: A Signiﬁcant Sea-Based Source ofMicroplastics? Environmental Science & Technology 2022 56 (1), 4-7. DOI: 10.1021/acs.est.1c05446 https://pubs.acs.org/doi/epdf/10.1021/acs.est.1c05446?ref=article_openPDF (kontrollerat via UB) 2. Zhang, Y. et al. 2024.  The Environmental Hazards andTreatment of Ship’s Domestic Sewage. Toxics 2024, 12, 826. https://doi.org/10.3390/toxics12110826 (kontrollerat via UB) 3. Havsmiljöinstitutet, 2014. Sjöfarten kring Sverige och dess påverkan på havsmiljön. Havsmiljöinstitutets rapport 2014:4 4. J.T. Mujingni et al. 2024. Sampling strategy, quantification, characterization and hazard potential assessment of greywater from ships in the Baltic Sea. Marine Pollution Bulletin Volume 208: 2024,https://www.sciencedirect.com/science/article/pii/S0025326X24009706 (Hämtade via UB.GU.SE) 5. Ytreberg, E. et al.  2022. Metal and PAH loads from ships and boats, relative other sources, in the Baltic Sea. Mar. Pollut. Bull. 182, 113904. https://doi.org/10.1016/j.marpolbul.2022.113904. (Hämtade via art ovan)",MP,"Hämtat information från rapport 3.1, men referenserna har hittats via Perplexity: -visar att gråvatten från fartyg innehåller höga halter av mikroplaster, metaller (t.ex. koppar och zink), näringsämnen (kväve och fosfor), patogener, läkemedelsrester och andra toxiska ämnen. (Peng et al 2022) -både grått och svart vatten från fartyg innehåller höga halter av ammoniak, organiskt material, mikroplaster, tungmetaller och patogener. Direkt utsläpp av dessa avloppsvatten leder till allvarlig miljöförorening, övergödning, syrebrist och spridning av sjukdomar bland marina organismer. Studien visar också att mikroplaster från fartygsavlopp ackumuleras i näringskedjan och kan störa marina ekosystem (Zhang et al., 2024) - Fartygens utsläpp är koncentrerade till farlederna och i starkt trafikerade delar av Östersjön kan utsläppen av fosfor spela en stor roll för algblomningen på sommaren (Havsmiljöinstitutet, 2014) -Zn, Cu, Mn och As driver riskpotentialen för gråvatten och bidrar med 98 % till Hazard Index (HI).Genomsnittlig MC av kväve är högst i köksgråvatten medan den genomsnittliga MC av fosfor är högst i tvättgråvatten (J.T. Mujingni et al, 2024) -Fartyg orsakar en mängd olika marina föroreningar, där den tredje högsta toxicitetspotentialen bland de fartygsgenererade utsläppen i Östersjön är gråvatten (Ytreberg et al., 2022)",,
7-3,Direkt miljöpåverkan i vatten,Direkt miljöpåverkan: Fartygsolyckor,7,,,high,"1. Wan, S. et al.  2022. Emerging marine pollution from container ship accidents: Risk characteristics, response strategies, and regulation advancements Journal of Cleaner Production. Vol. 376: 2022. https://doi.org/10.1016/j.jclepro.2022.134266 (Via UB.GU.SE)",MP,"- kontaminering från tungmetaller, plastfiber, läckt bränsle och HNS efter olyckor kan äventyra hela marina livsmiljöer och ackumuleras kontinuerligt genom näringskedjan, vilket så småningom utgör ett hot mot människors hälsa. Kunskapen om riskegenskaper och föroreningstransporter är dock fortfarande begränsad.(Wan et al, 2022) - Exponering för tungmetallkontamination, även vid låga koncentrationer, kan vara skadligt för marina organismer pga metallernas toxicitet, persistens och icke-biologisk nedbrytbarhet(Xin et al., 2019 enligt Wan et al, 2022). - Nedsjunkna kläder, plaster och tyger trasnformeras till plastfragment och fibrer via den nötande effekten av havsströmmar och sandpartiklar. (Kurniawan et al., 2021; Wang et al., 2022) En processen som pågår i årtionden tills fullständig nedbrytning uppnås och påverkar marina ekosystem (Beer et al., 2018; Feng et al., 2022a)",,
7-4,Indirekt påverkan via luft,Indirekt påverkan: via luftförorening,7,,positive,high,"1. Walker, R. et al. (2019). Chapter 27 - Environmental Effects of Marine Transportation, pp. 505-530, in: Charles Sheppard. World Seas: An Environmental Evaluation (Second Edition). Academic Press, ISBN 9780128050521, https://doi.org/10.1016/B978-0-12-805052-1.00030-9",MP,,,
7-5,Nya teknologier testas,Vind- och solenergidrivna fartyg som leder till minskade utsläpp från själva framdriften,7,,,unknown,"Deliverable 1.1, kapitel 6",MP/AM,,,
7-6,Påverkan i känsliga områden,I samband med fasta installationer i havet uppstår en risk till undanträngningseffekter och ökad belastning i oönskade områden.,7,,positive,medium,,AM,"Fartygstrafiken ökar, genom fasta installationer i havet uppstår undanträngningseffekter som kan också beröra skyddade/värdefulla områden. Kjell Larsson från Kalmar har gjort studier om sjöfarten runt Gotland. Få eller inga praktiska studier på Västkusten. De senaste nationella Havsplanernas konsekvensanalyser inkluderar dimension.",,
7-7,Konkurrens om utrymme med all annan användning,Konkurrens om utrymme med t.ex. havsbaserad vindkraft eller fiske,7,11,,unknown,,,,,
7.1,Behov av sjötransport av gods och människor , ,,,positive,high,"1. Wan, S. , Yang, X., Chen, X.,  Qu, Z., An C., Zhang, B., Lee, K. Bi, H. 2022. Emerging marine pollution from container ship accidents: Risk characteristics, response strategies, and regulation advancements Journal of Cleaner Production. Vol. 376: 2022. https://doi.org/10.1016/j.jclepro.2022.134266 (Via UB.GU.SE)",MP,"-Under 40-årsperioden från 1980 till 2020 ökade den totala vikten av last som fraktades av containrar över hela världen nästan 20 gånger. Sedan början av den 21:a århundradet har container-godstrafik vuxit i en mycket snabb takt på grund av den handelsboom som 78:78(Wan et al, 2022)",,,Ekonomisk globalisering,
7.2,Stämpelskatt”  gör svensk flagg oattraktivt för fartygsägare.,En större svenskaflaggad fartygsflotta hjälpa Sverige att nå nationella och globala milijö- och utvecklingsmål.,,,positive,unknown,"1. Strokirk, C., Klintenberg, H., Rogerson, S., Bach, A. Raza, Z. 2020. Nyttan med svenskflaggad fartyg och betydelsen av en ökad inflaggning för Sverige. Lighthouse reports.",MP,"Referns hittad via Perplexity. Andra vetenskapliga artiklar, rapporter och ex från Andra EU-läner framhåller skattebefrielser och statliga subventioner för sjötransporter är avgörande för att öka fartygsflottan.(enligt författarna)",,
8,Fritidsbåtar och sportfiske,"Fritidsaktiviteter till havs består främst av båtliv och fiske samt dykning efter vrak och snorkling i grundare områden.  Tillägg 2025-05-12 (AM:s grupp). Missbruk och misskötsel: båtar och sjövett (snabba båtar, inga tillstånd behövs, urvattning av allemansrätten).",,,positive,medium,Hur närvarande är fritidsbåtar/sportfisket i utsjön/fallstudieområdet? Relevanta källor för västerhavet?,AM,Miljöeffekter: fritidsbåtsrapporten HMI,, 
8-1,,"Ökande antal och storlek på båtar - främst sommarhalvåret: konkurrens om yta, hamnar och naturhamnar, men även om resursen.",,11,,high,"Hur många båtar, när och var? Relevant för fallstudieområdet? Var finns det konkurrens i sjön och var är det främst landbaserad infrastruktur (Land-sea interactions)? Kolla med aktörerna.",AM,mera research/info kan behövas,,
8-2,,"Antal och storlek på båtar sommarhalvåret (buller, föroreningar från drivmedel och färger, ankring, svall). Bryggor och hamnar påverkar miljön negativt (skuggning, gifter)",,20,,high,Hur stor är påverkan av fritidssjöfarten i förhållande till yrkessjöfart (transport/fiske) när det gäller utsläpp och buller i just fallstudieområdet? Hur ser det ut i kustbandet (land-sea interactions)? Kolla med aktörerna. 1. Moksnes et al. 2019. Fritidsbåtars påverkan på grunda kustekosystem i Sverige. Havsmiljöinstitutets rapport 2019:3. https://www.havsmiljoinstitutet.se/publikationer/havsmiljoinstitutets-rapportserie/fritidsbatars-paverkan-pa-grunda-kustekosystem-i-sverige,AM,"mera research/info kan behövas. Rapporten täcker bara grunda vikar, inte utsjön.",,
8-3,Undervatten-buller från båtar,,,20.4,,unknown,,,,,
8.1,Efterfrågan på havsnära fritidsaktiviteter, ,,,,medium,Vilka är de relevanta drivkrafterna för efterfrågan i just fallstudieområdet? Kolla med aktörerna.,AM,mera research/info kan behövas,,
8.1-1,,Behov av aktiviteter och relaterad infrastruktur,,,,high,Vilka aktiviteter i fallstudieområdet? Kolla med aktörerna.,AM,mera research/info kan behövas,,
9,Kulturmiljövärden (D eller samhällsbox?),"Kulturmiljövärden - materiella och immateriella (tex. maritimt kulturarv), visuella (landskapet - bevarande av landskapsbild) och fysiska (tex vrak) är ett samhällsintresse med nytta för olika aktiviteter (turism, social hållbarhet). Kulturella ekosystemtjänster får större värde genom planering och lagstiftning. Allt fler vrak upptäcks och skyddas.",,,positive,medium,hitta refs,AM,"Tillägg LLWest 2025-05-12 (JSC, HaV)",,
9-1,Kulturmiljöskydd som del i konkurrensen om havsytan/-botten,"Kulturmiljövärden (landskap) påverkar konkurrensen om utrymmet till havs och vid havsbotten (vrak, lämningar).",9,11,positive,medium,hitta refs,AM,"Tillägg LLWest 2025-05-12 (JSC, HaV)",,
9.1,Riksintresse kulturmiljö,Krav på landskaps och kulturmiljöskydd genom lagstiftning och policyprogramm. Riksintressen behöver beaktas i all planering och tillståndsgivning,,,,medium,"Miljöbalken, Kulturmiljölagen…",AM,"Tillägg LLWest 2025-05-12 (JSC, HaV)",,
9.1-1,D9.1-1 Krav på skydd av kulturlämningar och miljöer ,Krav på landskaps och kulturmiljöskydd genom lagstiftning och policyprogramm. Riksintressen behöver beaktas i all planering och tillståndsgivning.,9.1,9,positive,medium,"Miljöbalken, Kulturmiljölagen…",AM,"Tillägg LLWest 2025-05-12 (JSC, HaV)",,
10,Utvinning av naturresurser på havsbotten,Extraktion från havsbotten sker i dagsläget oftast genom sugning och skrapning.,,,,medium,,EE/AM,Tillägg LLWest 2025-05-12 (sea twirl),,
10-1,Påverkan på havsbottenhabitat,Påverkan på  bentiska habitat genom fysisk störning vid borttagning av material samt grumling samt buller vid själva extraktionstillfället. ,10,20,,medium,hitta refs,EE/AM,Tillägg LLWest 2025-05-12 (sea twirl),,
10-2,Tillfällig konkurrens vid uttag,Konkurrens om havsytan vid uttagstillfället.,,,,unknown,,,,,
10.1,Behov av naturmaterial,Genom den gröna omställningen och klimatförändrinen ökar behovet av material från havsbotten såsom sand (strandfodring) och sällsynta jordartsmetaller. ,,,,medium,hitta refs,EE/AM,Tillägg LLWest 2025-05-12 (sea twirl),,
10.1-1,Materialuttag från havsbotten,Extrahering av material från havsbotten,10.1,10,,medium,hitta refs,EE/AM,Tillägg LLWest 2025-05-12 (sea twirl),,
11,Konkurrens,"Konkurrensen, främst om havets yta (många användare) och resurser (främst fisk och skaldjur mellan yrkes och fritidsfisket och naturvård) ökar genom att a) fler rörliga användare tillkommer och att b) nya användare vill introducera fasta installationer, vilket kan leda till rumslig konflikt och undanträngning av andra, inte minst rörliga aktiviteter. Se interaktionsmatris i D1.1 för en grov överblick. Teknik, beteendemönster och tidsmässiga mönster påverkar graden av kompatibilitet.",,,positive,medium,"1. Rapport D1.1 kapitel 6 2. Sveriges havsplaner, konsekvensbedömning",AM,Se interaktionstabell i D1.1. Genom introduktion av reglering och olika tekniska och andra åtgärder kan konkurrensen minskas eller omvandlas till synergier (detta är dock inte del av denna analys).,HaV JSC,Vägledning om användning av havet (tex havsplanering)
11.1,Fiskefria områden,Undanträngning av fisket,,3.1,positive,medium,1. https://www.wwf.se/hav-och-fiske/ostersjon/unikt-innanhav/#om-ostersjon,EE,,,
11.1-1,Minskat fisketryck (lokalt),Minskat fisketryck (lokalt),11.1,2.6,positive,high,"1. Hammar, L. et al (2016). Offshore Wind Power for Marine Conservation. Open Journal of Marine Science, 06(01), 66–78. https://doi.org/10.4236/ojms.2016.61007",SM,"MPA effekten beror mycket på hur stor vindkraftsparken är, fiskarten och hur mycket som fiskas runt parken",,
11.1-2,Minskat fisketryck (lokalt),Minskat fisketryck (lokalt),11.1,2.5,positive,high,"1. Hammar, L. et al (2016). Offshore Wind Power for Marine Conservation. Open Journal of Marine Science, 06(01), 66–78. https://doi.org/10.4236/ojms.2016.61007",SM,"MPA effekten beror mycket på hur stor vindkraftsparken är, fiskarten och hur mycket som fiskas runt parken",,
11.1-3,Förlust av fiskeområden,Förlust av fiskeområden på grund av konkurrens med andra användningsområden,11.1,,,unknown,,,,,
11-2,Undanträngning av andra användare till icke-OW områden,Undanträngning av andra och mobila användare till andra områden (tex havsbaserad vind),11,20,positive,medium,"Havs & Vattenmyndigheten, Energimyndigheten. 2023. Samexistens mellan havsbaserad vindkraft, yrkesfiske, vattenbruk och naturvård. En kunskapssammanställning om förutsättningar och åtgärder. Rapport 2023:2. https://www.havochvatten.se/data-kartor-och-rapporter/rapporter-och-andra-publikationer/publikationer/2023-03-01-samexistens-mellan-havsbaserad-vindkraft-yrkesfiske-vattenbruk-och-naturvard.html",AM,"Finns studier och modelleringar, inte nödvändigtvis för svenska vatten, då det ännu finns få vindparker i svensk EEZ. ",,
11-3,Förlust av fritt utrymme för sjöfarten,"Förlust av fritt utrymme och ""frihet"" för sjöfarten, undanträngning, längre färdtid, olycksrisken ökar",11,7,positive,medium, , ,"Finns studier och modelleringar, inte nödvändigtvis för svenska vatten, då det ännu finns få vindparker i svensk EEZ.",,
11-4,Förlust av fritt utrymme för fritidsbåtar,"Förlust av ""frihet"" för fritidssjöfarten, förträngningseffekter, längre färdtid, olycksrisken ökar ",11,,,unknown,,,,,
11-5,Konkurens mot landbaserat vattenbruk,Konkurens mot landbaserat vattenbruk,11,,,medium,,EE,Tillägg LLWest 2025-05-12 (sea twirl),,
11-6,Konkurens mot landbaserad vindkraft,Konkurens mot landbaserad vindkraft,11,,,medium,,EE,Tillägg LLWest 2025-05-12 (sea twirl),,
11-7,Kulturmiljövärden påverkas av fasta installationer/andra användare,"Kulturmiljövärden (landskap) påverkas av konkurrensen om utrymmet till havs, inte minst fasta installationer (vind, havsbruk)",11,9,positive,medium,hitta refs,AM,"Tillägg LLWest 2025-05-12 (JSC, HaV)",,
11-8,Konkurrens vid fasta installationer och bottenberoende aktiviteter ,Konkurrens vid fasta installationer och bottenberoende aktiviteter ,11,10,,unknown,,,,,
20,Kumulativ påverkan på havsmiljön,Kumulativ påverkan innebär den summerade påverkan på havet genom alla aktiviteter tillsammans.,,,positive,medium,1. Havsplanernas konsekvensbeskrivning 2. Helcom HOLAS (Östersjön) 3. OSPAR QSR (Västerhavet och Nordsjön),AM/ML,"Det pågår en snabb utveckling av metoder för kumulativ påverkansanalys, ett problem är rumslig upplösning. För att jobba med detta inom C2B2 behöver vi en mer detaljerad avgränsning tematiskt och geografiskt.",HaV JSC,Kunskap om kumulativa effekter
20.1,Fysisk störning,…,,,,unknown,,,,,
20.1-1,Negativ påverkan på t.ex. sjöfåglar,Negativ påverkan på t.ex. sjöfåglar,20.1,,negative,high,"1. Galparsoro, I. et al. (2022). Reviewing the ecological impacts of offshore wind farms. Npj Ocean Sustainability, 1(1). https://doi.org/10.1038/s44183-022-00003-5",SM,Turbinerna minskar habitatet och ökar kollisionsrisken för sjöfåglar,,
20.2,Artificiell substrat,,,,,unknown,,,,,
20.2-1,Förändrad sammansättning av bottenlevande arter,Förändrad sammansättning av bottenlevande arter,20.2,,positive,high,"1. Coolen, J. W. P. et al. (2018). Benthic biodiversity on old platforms, young wind farms, and rocky reefs. ICES Journal of Marine Science, 77(3), 1250–1265. https://doi.org/10.1093/icesjms/fsy092 2. Krone, R. et al. (2013). Mobile demersal megafauna at artificial structures in the German Bight – Likely effects of offshore wind farm development. Estuarine, Coastal and Shelf Science, 125, 1–9. https://doi.org/10.1016/j.ecss.2013.03.012 3. Krone, R. et al.  (2017). Mobile demersal megafauna at common offshore wind turbine foundations in the German Bight (North Sea) two years after deployment—Increased production rate of Cancer pagurus. Marine Environmental Research, 123, 53–61. https://doi.org/10.1016/j.marenvres.2016.11.011",SM,"Artificiell substrat kommer troligtvis ökar den bentiska biomassan i vindkraftparksområdet, men det förblir oklart/omdiskuterad hur biodiversiteten kommer påverkas",,
20.2-2,Förändrad sammansättning av bottenlevande arter,Förändrad sammansättning av bottenlevande arter,20.2,,,medium,"1. Coolen, J. W. P.  et al. (2018). Benthic biodiversity on old platforms, young wind farms, and rocky reefs. ICES Journal of Marine Science, 77(3), 1250–1265. https://doi.org/10.1093/icesjms/fsy092",SM,"Artificiell substrat förändrar den bentiska artsammansättningen, speciellt i områden präglade av mjuk substrat; påverkan på födoväven är dock varken positiv eller negativ",,
20.3,Påverkan av värderfulla habitat,inklusive skyddade områden; genom pågående användning,,,,unknown,,,,,
20.3-1,Länken saknas i Mural,Fler typer av påverkan som kan bli relevanta baserat på geografisk och tematisk fokus i fallområdet,20,,,unknown, ,AM,Detta är ett brett tema som behöver utredas baserat på tematisk och exakt geografisk fokus av LL,,
20.4,Undervattensbuller,,,,positive,unknown,,,,,
20.4-1,Negativ påverkan på ljudkänsliga fiskarter,"Negativ påverkan på ljudkänsliga fiskarter genom t.ex. installationer i havet, motorbuller etc.",2.4,2.5,positive,high,"1. Andersson, M. H.  et al. (2011). Ljud från vindkraftverk i havet och dess påverkan på fisk (6436; p. 39). Naturvårdsverket.  2. Sjöfarten/fritidsbåtar?...",SM/AM,Särskilt under konstruktionsfasen av installainoter och för larvstadier; begränsad kunskap om långsiktiga effekter under driftfasen,,
20.4-2,Negativ påverkan på ljudkänsliga fiskarter,"Negativ påverkan på ljudkänsliga fiskarter genom t.ex. installationer i havet, motorbuller etc.",2.4,2.6,positive,high,"1. Andersson, M. H.  et al. (2011). Ljud från vindkraftverk i havet och dess påverkan på fisk (6436; p. 39). Naturvårdsverket.  2. Sjöfarten/fritidsbåtar?...",SM/AM,"Negativ påverkan på ljudkänsliga fiskarter genom t.ex. installationer i havet, motorbuller etc.",, 
